,Original,Predicted
,0,0
0,96,68.09314804661096
1,85,63.2787384151543
2,86,52.445815186355674
3,76,69.17740488298787
4,75,77.49476310980572
5,91,64.25095443029119
6,80,82.00722908938745
7,74,58.4802093695118
8,69,51.21060383567539
9,96,58.85230588255829
10,97,58.788469543127135
11,142,62.44462301653633
12,89,50.629542329797324
13,49,68.12682383190302
14,95,57.578905627705076
15,103,81.10170129641277
16,97,73.1083074875227
17,80,65.42445672011874
18,85,70.25063129957829
19,78,62.30482227694296
20,72,61.7144727437432
21,80,64.18202730687165
22,74,47.265303938986484
23,59,48.9625568610059
24,73,42.97124247953427
25,72,54.231104373375345
26,73,51.72510908367711
27,68,45.815655597752766
28,61,46.444847077910374
29,99,41.70114503401582
30,65,45.25203956895798
31,77,42.13745802470257
32,67,62.24227595091257
33,78,78.00166518346447
34,93,65.35066563985811
35,78,60.480596589502554
36,93,67.58137864692098
37,80,73.16459289223432
38,61,55.88728876253849
39,88,64.63456256935176
40,79,56.06373985393253
41,81,67.30771726084694
42,74,58.487331351069066
43,80,68.93528784206205
44,82,68.45555454694615
45,101,59.364536107526945
46,87,64.05815406648829
47,83,60.65556874312295
48,77,59.90358201882334
49,166,51.824813147530094
50,122,44.75372288864476
51,100,50.52408787481994
52,107,50.82225621651857
53,73,68.76146466256372
54,74,54.02853324884011
55,72,79.85875375750068
56,99,50.80838574885006
57,69,54.08925382191058
58,98,58.63045571968173
59,103,57.07282642323042
