,Original,Predicted,
,0,0,RSQ
0,96,81.90267827,0.025782028
1,85,71.24193043,
2,86,59.02256686,
3,76,70.18219772,
4,75,92.1685289,
5,91,79.889147,
6,80,73.53978754,
7,74,84.1686772,
8,69,74.85377222,
9,96,81.39946441,
10,97,69.79508889,
11,142,78.62870929,
12,89,79.13060323,
13,49,93.16973074,
14,95,109.3698573,
15,103,100.6566213,
16,97,85.85423707,
17,80,83.4628383,
18,85,75.16870212,
19,78,79.31471894,
20,72,87.69312558,
21,80,78.16971636,
22,74,79.63599692,
23,59,86.42343649,
24,73,83.98679446,
25,72,75.53941349,
26,73,85.48852909,
27,68,90.01732135,
28,61,89.50143449,
29,99,84.05509696,
30,65,82.20849236,
31,77,96.01899011,
32,67,111.2944128,
33,78,117.3327444,
34,93,111.0148957,
35,78,78.56603167,
36,93,83.85061369,
37,80,90.60687266,
38,61,78.99107772,
39,88,62.33439884,
40,79,60.84722872,
41,81,84.266263,
42,74,92.24174641,
43,80,85.26852254,
44,82,99.7680199,
45,101,82.52376313,
46,87,85.75847745,
47,83,85.11346314,
48,77,104.9465024,
49,166,73.78882915,
50,122,71.36210516,
51,100,84.54304338,
52,107,76.92680268,
53,73,70.51551335,
54,74,78.6210463,
55,72,82.23343354,
56,99,74.96220148,
57,69,70.73367454,
58,98,76.85518244,
59,103,87.56685425,
